,Serial_Number,AGE,GENDER,MARITAL_STATUS,NATIONALITY,LINE_TENURE,CUSTOMER_CLASS,SUBPLAN,CONTRACT_FLAG,PAY_METD,HS_AGE,TOP1_INT_CD,TOP2_INT_CD,TOP3_INT_CD,CUSTOMER_TYPE,ID_CHANGE_FLAG
0,1,26.0,F,M,702.0,575,3,2136,1.0,cs,18,105,NONE,NONE,4G,0
1,10,46.0,F,M,702.0,572,3,2242,1.0,co,1,NONE,NONE,NONE,4G,0
2,100,26.0,M,S,702.0,1252,3,2107,1.0,cs,0,NONE,NONE,NONE,4G,0
3,1000,38.0,M,S,702.0,2073,3,2102,1.0,cs,5,104,105,103,4G,0
4,1001,36.0,M,S,702.0,3131,3,2101,1.0,co,3,NONE,NONE,NONE,4G,0
5,10014,50.0,M,M,702.0,1402,3,2105,0.0,cs,33,NONE,NONE,NONE,3G,0
6,10016,40.0,F,S,702.0,2985,3,2103,1.0,cs,14,NONE,NONE,NONE,3G,0
7,10018,46.0,M,S,702.0,764,3,2135,1.0,cs,0,NONE,NONE,NONE,3G,0
8,1002,39.0,F,S,702.0,2665,3,2243,1.0,co,0,NONE,NONE,NONE,4G,0
9,10022,41.0,F,M,702.0,1129,3,2241,1.0,cs,10,NONE,NONE,NONE,3G,0
10,10029,35.0,F,S,702.0,2869,3,2101,1.0,dd,1,NONE,NONE,NONE,3G,0
11,1003,26.0,M,S,702.0,1093,3,2136,1.0,cs,0,236,NONE,NONE,4G,0
12,10030,41.0,M,M,702.0,1502,3,2101,1.0,cs,13,53,69,NONE,3G,0
13,1004,47.0,M,M,702.0,1696,3,2113,0.0,cs,0,NONE,NONE,NONE,4G,0
14,1005,32.0,M,M,702.0,2298,3,2242,1.0,co,5,NONE,NONE,NONE,4G,0
15,10050,36.0,M,M,702.0,2386,7,2155,1.0,cg,3,NONE,NONE,NONE,3G,0
16,10054,38.0,F,S,702.0,2164,3,2101,1.0,cs,10,NONE,NONE,NONE,3G,0
17,10057,33.0,M,M,144.0,290,5,2242,1.0,cs,9,NONE,NONE,NONE,3G,0
18,10058,33.0,F,S,702.0,1843,6,2101,0.0,cs,60,NONE,NONE,NONE,3G,0
19,1006,29.0,F,S,702.0,2322,3,2102,1.0,cs,14,70,NONE,NONE,4G,0
20,10065,36.30354683195592,M,S,702.0,2962,8,2248,1.0,cs,6,34,NONE,NONE,3G,0
21,1007,35.0,M,S,702.0,2375,3,2102,1.0,cs,10,29,258,242,4G,0
22,10071,25.0,M,S,156.0,1074,5,2242,1.0,cs,21,NONE,NONE,NONE,3G,0
23,10079,30.0,M,S,702.0,1980,3,2101,1.0,cs,11,NONE,NONE,NONE,3G,0
24,1008,44.0,M,M,458.0,2543,3,2101,1.0,cs,7,105,NONE,NONE,4G,0
25,10083,43.0,F,M,702.0,2958,3,2242,0.0,cs,0,105,238,NONE,3G,0
26,1009,56.0,M,M,702.0,980,3,2105,0.0,cs,6,NONE,NONE,NONE,4G,0
27,10091,50.0,M,M,702.0,1896,3,2136,1.0,cs,0,248,69,105,3G,0
28,10096,28.0,F,M,702.0,315,3,2242,1.0,cs,10,105,NONE,NONE,3G,0
29,10099,37.0,M,S,702.0,356,3,2241,1.0,cs,11,NONE,NONE,NONE,3G,0
30,101,41.0,F,M,702.0,1468,3,2104,0.0,cs,0,25,NONE,NONE,4G,0
31,1010,60.0,M,S,356.0,3126,3,2102,1.0,dd,0,239,48,70,4G,0
32,10106,18.0,M,S,702.0,351,4,2242,1.0,cs,8,NONE,NONE,NONE,3G,0
33,10108,32.0,F,S,702.0,2617,3,2101,1.0,cg,6,70,NONE,NONE,3G,0
34,1011,50.0,F,M,702.0,1984,3,2248,1.0,cs,2,105,NONE,NONE,4G,0
35,1012,33.0,F,S,702.0,3130,3,2102,1.0,co,1,NONE,NONE,NONE,4G,0
36,10122,50.0,F,M,702.0,1766,3,2101,0.0,cs,40,NONE,NONE,NONE,3G,0
37,10125,28.0,M,S,702.0,1941,3,2242,1.0,co,17,NONE,NONE,NONE,3G,0
38,10127,25.0,M,S,702.0,256,3,2242,1.0,cs,8,NONE,NONE,NONE,3G,0
